n,D,H,WSG,AGB
526,5.3,2.8,0.84,3.31
527,5.4,4,0.84,7.14
528,5.4,4,0.84,4.63
529,5.4,4,0.84,3.31
530,5.4,2.9,0.84,3.32
531,5.5,3,0.84,3.82
532,5.7,3.4,0.84,3.74
533,5.8,3.1,0.84,3.97
534,5.9,4,0.84,5.64
535,6,3.6,0.84,6.11
536,6.3,2.4,0.84,6.33
537,6.4,3.9,0.84,6.19
538,6.6,4.5,0.84,4.01
539,6.8,4.2,0.84,7.7
540,6.8,3.7,0.84,4.67
541,7,3.6,0.84,6.22
542,7.1,3,0.84,8.38
543,7.8,4.4,0.84,7.81
544,8,4.4,0.84,9.45
545,8,3.3,0.85,9.27
546,8,3.9,0.84,8.48
547,8.1,4.9,0.84,5.18
548,8.2,4.1,0.84,11.92
549,8.3,4.6,0.84,26.07
550,8.4,3.6,0.84,15.18
551,8.8,4.2,0.84,12.34
552,9.5,3.8,0.84,15.14
553,9.9,3.6,0.84,18.44
554,10,2.5,0.84,11.72
555,10.1,4.8,0.84,27.19
556,10.2,4.6,0.84,15.15
557,10.5,5,0.84,28.22
558,12.7,4.5,0.84,16.25
559,13.4,6,0.84,137.81
560,14,5.2,0.84,41.27
561,15,4,0.84,37.31
562,15.3,4.8,0.84,28.56
563,16.2,6.1,0.89,65.96
564,17.2,6.2,0.84,49.98
565,17.2,6.2,0.86,46.76
566,17.5,4.5,0.84,40.01
567,18.1,3.1,0.84,35.76
568,19.1,6.5,0.84,84.93
569,22.6,6.2,0.84,113.21
570,27.1,7.4,1.04,268.12
571,6.1,3.9,0.94,6.99
572,7.1,4.4,0.94,16.5
573,7.5,4.5,0.94,13.14
574,7.5,4,0.94,11.86
575,7.6,3,0.94,11.14
576,7.6,4,0.94,8.74
577,7.8,5.1,0.94,14.55
578,7.8,3.4,0.94,7.71
579,7.9,5.4,0.94,41.45
580,7.9,4.5,0.94,15.43
581,8.3,4,0.94,10.52
582,8.9,3.5,0.94,16.82
583,9.2,4.3,0.94,17.44
584,9.5,4.1,0.94,9.23
585,10.1,4.7,0.94,26
586,10.1,5.1,0.94,22.02
587,10.5,3.7,0.94,20.67
588,11.1,4.4,0.94,25.78
589,12,4.5,0.94,29.3
590,13.7,4.8,0.94,38.76
591,5.3,3.4,0.43,2.38
592,5.7,3.5,0.43,2.59
593,6.2,3.1,0.43,4.25
594,6.5,3,0.43,6.5
595,8.5,4.2,0.43,6.61
596,9.5,3.4,0.43,3.95
597,19.1,4.1,0.43,40.95
598,5.1,3.2,0.6,2.16
599,10.7,5,0.6,14.54
600,5.8,3.6,0.56,2.92
601,6.3,2.1,0.56,3.07
602,8.1,3.2,0.56,4.7
603,9.8,4.6,0.56,21.01
604,15.6,6.4,0.56,30.49
605,22.6,7.9,0.85,175.36
606,22.9,6.4,0.71,148.1
607,11.5,2.3,0.51,8.96
608,30.9,8,0.49,136.02
609,40.7,6.7,0.51,313.5
610,8.6,3.3,0.8,11.03
611,8.6,3,0.72,9.33
612,10.5,3.7,0.75,26.29
613,22.3,3.4,0.78,82.47
614,12,14.1,0.79,71.59
615,7.6,12,0.84,21.62
616,11.9,14.8,0.66,74.51
617,14.8,19.5,0.67,103.53
618,12,18.5,0.54,76.82
619,11.6,17.3,1.08,64.35
620,24.6,28.2,0.9,659.23
621,49,30.1,0.41,2227.8
622,19.2,24.6,0.6,193.19
623,22.9,21.4,0.56,197.81
624,14.7,13.5,0.65,132.43
625,45.4,29.5,0.59,1942.14
626,12.4,17,0.58,84.74
627,20,19.6,0.58,369.82
628,8.5,13.2,0.57,30.54
629,5.7,9,0.62,9.59
630,9.9,13.8,1.05,55.53
631,13.9,15.2,1.05,124.37
632,6,8.9,0.65,18.21
633,9.4,15.3,0.51,26.77
634,42.7,27.6,0.44,1053.73
635,9.3,13.6,0.56,35.97
636,49.2,28.2,0.51,1479.68
637,70.5,39.4,0.51,4405.57
638,13.4,15.4,0.71,85.25
639,45.2,24.9,0.71,1877.75
640,9.5,13.8,0.63,34.69
641,37.8,25.2,0.56,805.47
642,9.8,13.8,0.61,47.62
643,12.4,18.8,0.84,112.04
644,124.8,45.9,0.71,20415.96
645,15.4,18.5,0.54,82.92
646,8.9,11.2,1.05,46.11
647,5.6,9.1,0.52,9.49
648,13.9,16.8,0.62,128.52
649,11.8,15,0.66,72.97
650,7.7,10.6,0.45,20.53
651,42.8,28.3,0.76,1361.67
652,18.9,20.8,0.71,274.32
653,11,11.8,0.51,73.7
654,8.2,11.6,0.51,44.79
655,7.6,11.7,0.74,31.21
656,11.6,13.4,0.74,91.84
657,5.5,9.4,0.56,16.62
658,12.4,18.9,0.78,132.86
659,7.9,12.5,0.94,29.45
660,16.5,17.9,0.51,150.65
661,13.2,20.4,0.72,118.71
662,11.6,16,0.61,92.29
663,8.9,12.6,0.63,54.58
664,15.9,23.9,0.84,292.07
665,7.6,12.3,0.52,13.3
666,17.2,10.6,0.5,80.7
667,12.4,12.5,0.5,27.2
668,10.5,11,0.5,34.4
669,21,20.7,0.42,276.3
670,22.6,23.4,0.48,308.23
671,32.5,32.9,0.49,728.08
672,14,5.2,0.42,63.2
673,28,8.3,0.42,445.02
674,32,12,0.55,533.45
675,34,9.8,0.74,698.69
676,48,17,0.55,1724.51
677,73.3,18.5,0.55,4510.53
678,78,17.9,0.55,4345.78
679,9,6,0.41,23.52
680,20.3,10.5,0.62,183.31
681,20.9,14,0.56,194.89
682,25,12.3,0.63,231.55
683,30.2,10.6,0.56,485.68
684,35.3,18,0.67,779.81
685,45,14.8,0.72,1322.39
686,54,15.7,0.56,1909.19
687,17,10.6,0.76,172.72
688,18,9.8,0.63,115.94
689,18,8.1,0.55,111.64
690,25,12.9,0.74,338.44
691,52,19.2,0.74,1972.29
692,54,13.6,0.63,1958.52
693,63,12.3,0.7,2081.16
694,6.7,7.3,1.08,17.82
695,22,9.2,0.79,241.4
696,27.2,13.4,0.72,527.48
697,36,18.2,0.69,940.31
698,41,15.5,0.63,958.88
699,48.5,22,0.74,1739.36
700,21.7,24.6,0.72,341.67
701,42,22.9,0.73,1715.81
702,38.8,23.4,0.53,1163.61
703,47.8,28.9,0.71,1831.62
704,19.3,24.9,0.71,387.49
705,30.1,26.3,0.73,836.04
706,11.9,19.3,0.63,71
707,52.8,25.9,0.58,1228.16
708,5.7,4.5,0.44,4.09
709,7.8,3.5,0.36,5.67
710,8.2,7.4,0.44,11.87
711,9.3,7.3,0.44,12.05
712,12.4,12.8,0.42,35.38
713,14.8,13,0.44,74.04
714,16.7,14.3,0.42,89.14
715,27.8,20.7,0.44,278.88
716,11.3,12.1,0.54,60.45
717,15.3,14.2,0.64,99.16
718,25.5,19,0.87,290.27
719,12.8,13.6,0.6,93.63
720,20.3,17.3,0.6,265.23
721,41.7,23.2,0.6,1041.84
722,14,12.5,0.63,132.2
723,17.2,16.8,0.64,209.12
724,11.3,14.3,0.51,81.24
725,12.1,14.6,0.51,94.82
726,17.2,16.6,0.73,315.48
727,28.2,17,0.57,328.67
728,12.3,11.1,0.81,91.86
729,23,13.3,0.81,433.39
730,23.2,15.4,0.81,358.09
731,25.2,16.5,0.81,539.56
732,35,10.6,0.81,455.01
733,37.3,18.1,0.81,1163.54
734,25.6,14.5,0.79,456.21
735,13.6,13.4,0.71,130.57
736,14.1,8.2,0.71,36.99
737,15.1,14.4,0.71,183.57
738,18,14.2,0.9,159.37
739,31.7,20.5,0.94,305.32
740,10.4,11.3,0.63,59.92
741,10.5,8.7,0.63,71.99
742,10.6,11.9,0.63,77.75
743,11.5,10,0.63,75.65
744,11.6,12.3,0.63,83.88
745,11.7,10.9,0.63,59.9
746,12.4,9.9,0.63,56.92
747,12.8,11.4,0.63,65.57
748,12.9,11,0.63,78.39
749,13.7,12.6,0.63,109.37
750,14.5,13.6,0.63,169.17
751,9.1,7.4,0.69,27.64
752,16.6,10.4,0.69,80.1
753,6.7,7.4,0.61,8.1
754,10.7,8.3,0.61,44.05
755,16.6,7.4,0.56,88.69
756,5.7,4.3,0.73,6.79
757,6,7.5,0.73,17
758,6.2,5.8,0.73,19.25
759,6.4,5,0.73,20.39
760,7.3,6,0.73,14.11
761,8.3,8,0.73,24.87
762,9.5,6,0.73,23.11
763,10.5,7.6,0.73,46.24
764,13.2,9.5,0.73,87.25
765,13.7,8.2,0.73,94.08
766,20.4,9.4,0.73,180.15
767,32.5,13.3,0.73,704.4
768,6,6,0.76,9.03
769,9.4,4.1,0.62,25.2
770,11.5,5,0.62,33.29
771,8.3,4.6,0.62,9.1
772,5.4,3,0.65,2.9
773,7,5,0.58,8.94
774,10.8,5.6,0.58,23.03
775,10.3,7.5,0.65,54.05
776,13.1,7.6,0.65,73.62
777,15.8,9.3,0.65,119
778,6.4,3.8,0.4,6.35
